con1	con1	trt1	trt2
STPG1	5.44	11.33	10.27	9.21
NIPAL3	21.7	45.86	52.86	47.34
AK2	218.94	208.22	174.24	184.19
ST7L	10.82	13.65	8.27	13.89
DNAJC11	68.02	65.5	53.2	50.54
E2F2	2.53	1.65	0.45	0.46
CSDE1	357.04	298.74	321.6	299.5
METTL13	80.97	71.6	56.32	46.55
SCMH1	23.42	22.46	20.25	20.83
FMO1	0	0	0	0
ATP1A2	0.18	0.32	0.05	0.06
RUNX3	1.23	0.47	0	0.1
DEPDC1	28.77	20.43	6.25	4.44
KPNA6	18.56	20.7	20.46	20.31
SARS1	218.55	248.6	159.82	153
LRRC7	0.13	0.19	0.05	0.16
ZZZ3	19.84	19.94	18.57	19.15
SLC66A1	14.77	20.61	21.43	21.94
USH2A	0.01	0.01	0	0
VPS13D	6	7.78	6.34	6.82
COL9A2	0.84	3.89	1.46	1.32
H6PD	18.44	11.18	17.6	18.38
UTS2	0.03	0	0.48	0
SIKE1	20.78	30.37	34.54	28.77
OPN3	5.37	4.39	10.51	4.4
SDCCAG8	9.51	11.04	16.08	14.82
HHAT	2.82	3.94	2.92	2.08
KIF1B	19.92	19.15	23.64	25.43
SZRD1	136.33	132.94	161.16	139.55
PITHD1	45.01	40.3	63.8	58.27
LAMC2	61.15	59.39	98.17	110.23
ATP2B4	71.34	89.85	103.91	103.48
NDC1	48.34	34.23	20.37	18.33
TARBP1	24.5	25.14	24.7	29.49
PTPRU	3.14	5.73	5.43	3.83
COL11A1	0	0.08	0	0.03
CHI3L2	0.38	1.44	0	0
PKN2	18.51	18.41	17.46	18.92
SPEN	21.22	18.56	19.13	23.61
KDM4A	20.75	26.75	32.35	33.82
NFYC	48.6	38.17	45.11	40.43
ASPM	31.06	15.87	5.35	6.18
EVI5	6.34	4.22	8.43	8.26
RRP15	21.58	18	11.45	14.68
IARS2	59.05	45.1	51.54	50.24
NUCKS1	256.17	152.08	93.27	90.9
TGFBR3	0.97	0.42	1.18	1.66
EIF2B3	34.58	36.97	52.37	44.66
CDC42	97.18	52.55	92.9	67.93
PTGS2	0.5	0.65	0.98	1.14
ENO1	4216.06	3324.6	3933.17	4412.53
EIF4G3	21.84	26.02	29.58	30.71
RASAL2	16.52	24.95	23.88	28.43
PLXNA2	1.8	5.3	11.69	10.08
RAP1GAP	0.24	0.2	0.17	0.05
UBE2T	65.11	50.7	35.15	36.65
USP33	24.08	26.49	29.61	30.15
CAPZB	217.86	209.71	182.06	189.6
GNB1	296.27	250.23	236.34	232.55
NRDC	80.06	75.68	78.27	83.07
SDF4	188.82	237.91	217.06	180.41
CDC14A	1.56	1.11	1.6	1.85
MAGI3	3.71	4.18	3.9	4.76
PTPRC	0	0	0	0.01
CACNA1S	0	0	0	0
JMJD4	13.8	12.62	13.45	13.75
DUSP12	39.77	24.47	26.01	25.24
TRAF5	6.54	9.6	4.93	7.83
